CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-517,"Black, African American, or African",Race Alone,52
OCT 2023 to SEP 2024,CA-517,"Black, African American, or African",Race Combination,29
OCT 2023 to SEP 2024,CA-517,Hispanic/Latina/e/o,Race Alone,162
OCT 2023 to SEP 2024,CA-517,Hispanic/Latina/e/o,Race Combination,325
OCT 2023 to SEP 2024,CA-517,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-517,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-517,White,Race Alone,456
OCT 2023 to SEP 2024,CA-517,White,Race Combination,303
OCT 2023 to SEP 2024,CA-517,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-517,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-518,"American Indian, Alaska Native, or Indigenous",Race Alone,25
OCT 2023 to SEP 2024,CA-518,"American Indian, Alaska Native, or Indigenous",Race Combination,51
OCT 2023 to SEP 2024,CA-518,Asian or Asian American,Race Alone,43
OCT 2023 to SEP 2024,CA-518,Asian or Asian American,Race Combination,24
OCT 2023 to SEP 2024,CA-518,"Black, African American, or African",Race Alone,718
OCT 2023 to SEP 2024,CA-518,"Black, African American, or African",Race Combination,93
OCT 2023 to SEP 2024,CA-518,Hispanic/Latina/e/o,Race Alone,102
OCT 2023 to SEP 2024,CA-518,Hispanic/Latina/e/o,Race Combination,186
OCT 2023 to SEP 2024,CA-518,Native Hawaiian or Pacific Islander,Race Alone,27
OCT 2023 to SEP 2024,CA-518,Native Hawaiian or Pacific Islander,Race Combination,20
OCT 2023 to SEP 2024,CA-518,White,Race Alone,510
OCT 2023 to SEP 2024,CA-518,White,Race Combination,208
OCT 2023 to SEP 2024,CA-518,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-518,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-519,"American Indian, Alaska Native, or Indigenous",Race Alone,157
OCT 2023 to SEP 2024,CA-519,"American Indian, Alaska Native, or Indigenous",Race Combination,294
OCT 2023 to SEP 2024,CA-519,Asian or Asian American,Race Alone,59
OCT 2023 to SEP 2024,CA-519,Asian or Asian American,Race Combination,48
OCT 2023 to SEP 2024,CA-519,"Black, African American, or African",Race Alone,382
OCT 2023 to SEP 2024,CA-519,"Black, African American, or African",Race Combination,234
OCT 2023 to SEP 2024,CA-519,Hispanic/Latina/e/o,Race Alone,211
OCT 2023 to SEP 2024,CA-519,Hispanic/Latina/e/o,Race Combination,595
OCT 2023 to SEP 2024,CA-519,Native Hawaiian or Pacific Islander,Race Alone,45
OCT 2023 to SEP 2024,CA-519,Native Hawaiian or Pacific Islander,Race Combination,63
OCT 2023 to SEP 2024,CA-519,White,Race Alone,3190
OCT 2023 to SEP 2024,CA-519,White,Race Combination,825
OCT 2023 to SEP 2024,CA-519,Middle Eastern or North African,Race Alone,73
OCT 2023 to SEP 2024,CA-519,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-520,"American Indian, Alaska Native, or Indigenous",Race Alone,34
OCT 2023 to SEP 2024,CA-520,"American Indian, Alaska Native, or Indigenous",Race Combination,83
OCT 2023 to SEP 2024,CA-520,Asian or Asian American,Race Alone,53
OCT 2023 to SEP 2024,CA-520,Asian or Asian American,Race Combination,21
OCT 2023 to SEP 2024,CA-520,"Black, African American, or African",Race Alone,449
OCT 2023 to SEP 2024,CA-520,"Black, African American, or African",Race Combination,105
OCT 2023 to SEP 2024,CA-520,Hispanic/Latina/e/o,Race Alone,615
OCT 2023 to SEP 2024,CA-520,Hispanic/Latina/e/o,Race Combination,982
OCT 2023 to SEP 2024,CA-520,Native Hawaiian or Pacific Islander,Race Alone,21
OCT 2023 to SEP 2024,CA-520,Native Hawaiian or Pacific Islander,Race Combination,14
OCT 2023 to SEP 2024,CA-520,White,Race Alone,916
OCT 2023 to SEP 2024,CA-520,White,Race Combination,935
OCT 2023 to SEP 2024,CA-520,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-520,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-521,"American Indian, Alaska Native, or Indigenous",Race Alone,17
OCT 2023 to SEP 2024,CA-521,"American Indian, Alaska Native, or Indigenous",Race Combination,38
OCT 2023 to SEP 2024,CA-521,Asian or Asian American,Race Alone,16
OCT 2023 to SEP 2024,CA-521,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-521,"Black, African American, or African",Race Alone,179
OCT 2023 to SEP 2024,CA-521,"Black, African American, or African",Race Combination,40
OCT 2023 to SEP 2024,CA-521,Hispanic/Latina/e/o,Race Alone,167
OCT 2023 to SEP 2024,CA-521,Hispanic/Latina/e/o,Race Combination,252
OCT 2023 to SEP 2024,CA-521,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-521,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-521,White,Race Alone,431
OCT 2023 to SEP 2024,CA-521,White,Race Combination,228
OCT 2023 to SEP 2024,CA-521,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-521,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-522,"American Indian, Alaska Native, or Indigenous",Race Alone,281
OCT 2023 to SEP 2024,CA-522,"American Indian, Alaska Native, or Indigenous",Race Combination,203
